County,Energy,Forestry,Grass,Horti,Livestock,Marine,Pulses,Tillage
Carlow,131291.49,33983.24,433710.65,17063.43,3064.7,0.0,4333.4,140963.76
Cavan,253796.34,75712.07,1048713.65,1047.89,429434.84,0.0,89.07,311.94
Clare,173255.61,258387.59,979093.2,217.92,2480.67,26.72,0.0,798.2
Cork,467550.0,450791.55,3987713.02,43103.24,1049632.02,6968.24,5420.79,352138.01
Donegal,172384.52,228107.39,726994.92,6259.8,5420.36,46710.95,0.0,36762.16
Dublin,111196.31,35670.84,89008.63,14594.12,673.3,951.35,6263.41,108693.39
Galway,52243.79,308478.79,1589450.85,5240.35,7189.34,1437.89,42.49,23295.17
Kerry,324632.69,243121.63,1182301.65,1633.43,692990.99,2589.43,23.74,17396.43
Kildare,76985.52,24751.03,453129.35,9201.73,5191.51,0.0,6858.62,255808.64
Kilkenny,120133.92,92849.39,1275571.13,13951.58,2073924.48,8.31,2112.51,125432.41
Laois,60950.87,145340.28,886728.08,16618.96,6427.32,0.0,2078.81,127457.04
Leitrim,172572.7,154860.6,316214.3,6.83,979.48,0.0,0.0,0.0
Limerick,308499.25,136548.57,1722490.92,441.32,1308827.86,0.0,63.92,8462.12
Longford,138996.32,46704.9,377694.45,44.74,2162.02,0.0,6.06,3130.33
Louth,19998.61,3654.37,345847.56,10954.69,3865.02,441.77,3477.11,159042.04
Mayo,166137.74,301156.54,1222403.79,927.56,5227.83,1499.61,0.0,1360.24
Meath,207636.53,23108.84,1367341.55,22887.16,8951.95,0.0,8488.44,298037.67
Monaghan,96970.06,13256.87,819964.0,2990.5,23676.8,0.0,0.71,3812.24
Offaly,18709.54,100701.62,960866.67,9309.46,5514.27,35.7,1508.47,75874.84
Roscommon,70435.65,161610.56,814274.94,1279.05,4533.27,0.0,50.29,3013.62
Sligo,95791.15,137007.5,426908.9,181.76,277320.96,6.69,0.0,495.04
Tipperary,145781.91,227459.99,2523579.59,14658.5,288611.56,11.04,3305.51,179414.3
Waterford,137683.13,119081.5,970836.47,8158.08,5298.31,1154.29,788.71,73033.89
Westmeath,23848.08,48263.15,1001974.25,2786.95,4664.55,0.0,2155.51,43640.82
Wexford,139570.19,78859.15,1078971.59,33556.91,5426.61,1202.42,14740.47,375230.27
Wicklow,150635.09,220341.2,449537.55,6987.41,2661.77,33.52,2204.82,103942.46
