County,PC1,PC2,Cluster,Total_tDM
Wicklow,0.3320380602514863,1.8496491335798215,0,936343.8200000001
Clare,-1.3349278075939277,0.7663570945174077,0,1414259.9099999997
Donegal,-0.818394579955488,3.0115533712605207,0,1222640.1
Leitrim,-0.7097577886153776,2.9593050476152207,0,644633.91
Longford,-0.6586345142395541,0.9503503496315717,0,568738.8200000001
Westmeath,-1.0372096513388651,-1.8556586982684262,1,1127333.31
Cork,-0.48785632660534317,-0.46897686535014355,1,6363316.87
Waterford,-0.5301474508801027,-0.3703286044105942,1,1316034.3800000001
Galway,-1.53808746800276,-0.5223246056749035,1,1987378.6700000002
Tipperary,-0.8208970585394367,-1.1075854994532683,1,3382822.3999999994
Roscommon,-1.4874195634015026,-0.1545709859742904,1,1055197.3800000001
Laois,0.08888304210688773,-0.6905335717881323,1,1245601.36
Offaly,-0.6767506268874894,-1.4094924503854653,1,1172520.57
Monaghan,-1.0986017431884985,-1.298377247214012,1,960671.1799999999
Mayo,-1.4223772201966236,0.4896058532128531,1,1698713.3100000003
Sligo,-1.2082596355029351,0.9525842009472306,2,937712.0
Limerick,-1.130046999943933,-0.16866537990353123,2,3485333.96
Kilkenny,-0.7511009258147772,-0.3951913734465472,2,3703983.73
Kerry,-0.9725151687918171,0.7553604344615334,2,2464689.99
Cavan,-0.9647842898109684,0.02770494355208358,2,1809105.8
Louth,2.4615904127322756,-1.8605861219289177,3,547281.17
Wexford,2.402171183524648,-1.053783900884284,3,1727557.61
Kildare,2.558027707839908,-1.0186188894752772,3,831926.4
Dublin,6.346514108536485,1.9690218980710141,3,367051.35
Meath,1.08358331766738,-1.2024545815920524,3,1936452.1399999997
Carlow,2.3749609866503296,-0.15434355109941067,3,764410.67
